"full_name","name","pinyin","zipcode"
"北京Beijing010","北京","beijing","010"
"重庆Chongqing023","重庆","chongqing","023"
"上海Shanghai021","上海","shanghai","021"
"天津Tianjin022","天津","tianjin","022"
"长春Changchun0431","长春","changchun","0431"
"长沙Changsha0731","长沙","changsha","0731"
"常州Changzhou0519","常州","changzhou","0519"
"成都Chengdu028","成都","chengdu","028"
"大连Dalian0411","大连","dalian","0411"
"东莞Dongguan0769","东莞","dongguan","0769"
"佛山Foshan0757","佛山","foshan","0757"
"福州Fuzhou0591","福州","fuzhou","0591"
"广州Guangzhou020","广州","guangzhou","020"
"贵阳Guiyang0851","贵阳","guiyang","0851"
"哈尔滨Haerbin0451","哈尔滨","haerbin","0451"
"海口Haikou0898","海口","haikou","0898"
"邯郸Handan0310","邯郸","handan","0310"
"杭州Hangzhou0571","杭州","hangzhou","0571"
"合肥Hefei0551","合肥","hefei","0551"
"惠州Huizhou0752","惠州","huizhou","0752"
"焦作Jiaozuo0391","焦作","jiaozuo","0391"
"嘉兴Jiaxing0573","嘉兴","jiaxing","0573"
"吉林Jilin0423","吉林","jilin","0423"
"济南Jinan0531","济南","jinan","0531"
"昆明Kunming0871","昆明","kunming","0871"
"兰州Lanzhou0931","兰州","lanzhou","0931"
"柳州Liuzhou0772","柳州","liuzhou","0772"
"洛阳Luoyang0379","洛阳","luoyang","0379"
"南昌Nanchang0791","南昌","nanchang","0791"
"南京Nanjing025","南京","nanjing","025"
"南宁Nanning0771","南宁","nanning","0771"
"南通Nantong0513","南通","nantong","0513"
"宁波Ningbo0574","宁波","ningbo","0574"
"青岛Qingdao0532","青岛","qingdao","0532"
"泉州Quanzhou0595","泉州","quanzhou","0595"
"沈阳Shenyang024","沈阳","shenyang","024"
"深圳Shenzhen0755","深圳","shenzhen","0755"
"石家庄Shijiazhuang0311","石家庄","shijiazhuang","0311"
"苏州Suzhou0512","苏州","suzhou","0512"
"台州Taizhou0576","台州","taizhou","0576"
"唐山Tangshan0315","唐山","tangshan","0315"
"潍坊Weifang0536","潍坊","weifang","0536"
"威海Weihai0631","威海","weihai","0631"
"武汉Wuhan027","武汉","wuhan","027"
"无锡Wuxi0510","无锡","wuxi","0510"
"厦门Xiamen0592","厦门","xiamen","0592"
"西安Xian029","西安","xian","029"
"许昌Xuchang0374","许昌","xuchang","0374"
"徐州Xuzhou0516","徐州","xuzhou","0516"
"扬州Yangzhou0514","扬州","yangzhou","0514"
"烟台Yantai0535","烟台","yantai","0535"
"漳州Zhangzhou0596","漳州","zhangzhou","0596"
"郑州Zhengzhou0371","郑州","zhengzhou","0371"
"中山Zhongshan0760","中山","zhongshan","0760"
"珠海Zhuhai0756","珠海","zhuhai","0756"
"阿坝Aba0837","阿坝","aba","0837"
"阿克苏Akesu0997","阿克苏","akesu","0997"
"阿拉善盟Alashanmeng0483","阿拉善盟","alashanmeng","0483"
"阿勒泰Aletai0906","阿勒泰","aletai","0906"
"阿里Ali0897","阿里","ali","0897"
"安康Ankang0915","安康","ankang","0915"
"安庆Anqing0556","安庆","anqing","0556"
"鞍山Anshan0412","鞍山","anshan","0412"
"安顺Anshun0853","安顺","anshun","0853"
"安阳Anyang0372","安阳","anyang","0372"
"白城Baicheng0436","白城","baicheng","0436"
"百色Baise0776","百色","baise","0776"
"白山Baishan0439","白山","baishan","0439"
