company_name,province,location,size,nature,business,page_num
金华智联信息科技有限公司,上海,上海,,国内上市公司,毛衫针织,1
苏州汉云纺织有限公司,江苏,江苏苏州,50 - 99人,私营．民营企业,"男装,女装,运动休闲",1
广东精英纺织有限公司,广东,广东肇庆,100 - 499人,港台澳企业,"男装,正装,运动休闲,毛衫针织,羽绒服",1
南通亚发针织制衣有限公司,江苏,江苏南通,,,,1
广东安之伴实业有限公司,广东,广东汕头,100 - 499人,外商独资．外企办事处,女装,1
重庆艺羲百货有限公司,重庆,重庆,500 - 999人,外商独资．外企办事处,女装,1
杭州宇辰电子商务有限公司,浙江,浙江杭州,50 - 99人,私营．民营企业,童装,1
杭州淑苑服装有限公司,浙江,浙江杭州,500 - 999人,外商独资．外企办事处,女装,1
杭州优款科技有限公司,浙江,浙江杭州,,,女装,1
东莞萌动实业有限公司,广东,广东东莞,50 - 99人,私营．民营企业,童装,1
昆山帝锦莱制衣有限公司,江苏,江苏昆山,50 - 99人,私营．民营企业,女装,2
苏州唯瑜进出口有限公司,江苏,江苏苏州,1 - 49人,私营．民营企业,"女装,内衣,泳装,毛衫针织",2
瑞安市品客瑞成服饰有限公司,浙江,浙江温州,100 - 499人,私营．民营企业,男装,2
汕头市天然体服饰有限公司,广东,广东汕头,100 - 499人,私营．民营企业,内衣,2
浙江拓展针织有限公司,浙江,浙江金华,,,,2
杭州芙黛文化创意有限公司,浙江,浙江杭州,50 - 99人,私营．民营企业,童装,2
南京玛莉佳儿服饰有限公司,江苏,江苏南京,50 - 99人,私营．民营企业,女装,2
杭州铭洲服饰有限公司,浙江,浙江杭州,1 - 49人,私营．民营企业,男装,2
常熟旭日祥服饰有限公司,江苏,江苏苏州,100 - 499人,事业单位,女装,2
中山市广丰服饰有限公司,广东,广东中山,,,运动休闲,2
广州珍妮丝服饰有限公司,广东,广东广州,1 - 49人,外商独资．外企办事处,女装,3
浙江美人计健康科技有限公司,浙江,浙江杭州,100 - 499人,私营．民营企业,内衣,3
佛山市众衣联网络科技有限公司,广东,广东佛山,,,"牛仔,面辅料,其他",3
