"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,170,"OMN","Oman",1,"Ad Dakhliyah",1,"Adam","OM.DA.AD",NA,"","Wilayat","Province","",""
2,170,"OMN","Oman",1,"Ad Dakhliyah",2,"Al Hamra","OM.DA.HA",NA,"","Wilayat","Province","",""
3,170,"OMN","Oman",1,"Ad Dakhliyah",3,"Bahla","OM.DA.BA",NA,"","Wilayat","Province","",""
4,170,"OMN","Oman",1,"Ad Dakhliyah",4,"Bid Bid","OM.DA.BB",NA,"","Wilayat","Province","",""
5,170,"OMN","Oman",1,"Ad Dakhliyah",5,"Izki","OM.DA.IZ",NA,"","Wilayat","Province","",""
6,170,"OMN","Oman",1,"Ad Dakhliyah",6,"Manah","OM.DA.MA",NA,"","Wilayat","Province","",""
7,170,"OMN","Oman",1,"Ad Dakhliyah",7,"Nizwa","OM.DA.NI",NA,"","Wilayat","Province","",""
8,170,"OMN","Oman",1,"Ad Dakhliyah",8,"Samail","OM.DA.SA",NA,"","Wilayat","Province","",""
9,170,"OMN","Oman",2,"Al Batinah North",9,"Al Khabourah","OM.BA.KH",NA,"","Wilayat","Province","","Al Khaburah"
10,170,"OMN","Oman",2,"Al Batinah North",10,"As Suwaiq","OM.BA.SU",NA,"","Wilayat","Province","","As Suwayq"
11,170,"OMN","Oman",2,"Al Batinah North",11,"Liwa","OM.BA.LI",NA,"","Wilayat","Province","",""
12,170,"OMN","Oman",2,"Al Batinah North",12,"Saham","OM.BA.SA",NA,"","Wilayat","Province","",""
13,170,"OMN","Oman",2,"Al Batinah North",13,"Shinas","OM.BA.SH",NA,"","Wilayat","Province","",""
14,170,"OMN","Oman",2,"Al Batinah North",14,"Sohar","OM.BA.SO",NA,"","Wilayat","Province","",""
15,170,"OMN","Oman",3,"Al Batinah South",15,"A Rustaq","OM.BA.RU",NA,"","Wilayat","Province","","Ar Rustaq"
16,170,"OMN","Oman",3,"Al Batinah South",16,"Al Awabi","OM.BA.AW",NA,"","Wilayat","Province","",""
17,170,"OMN","Oman",3,"Al Batinah South",17,"Al Masnaah","OM.BA.MU",NA,"","Wilayat","Province","","Al Musanaah"
18,170,"OMN","Oman",3,"Al Batinah South",18,"Barka","OM.BA.BA",NA,"","Wilayat","Province","",""
19,170,"OMN","Oman",3,"Al Batinah South",19,"Nakhal","OM.BA.NA",NA,"","Wilayat","Province","",""
20,170,"OMN","Oman",4,"Al Buraymi",20,"Al Buraimi","OM.ZA.BU",NA,"","Wilayat","Province","","Al Buraymi"
21,170,"OMN","Oman",4,"Al Buraymi",21,"Mahdha","OM.ZA.MA",NA,"","Wilayat","Province","","Mahdah"
22,170,"OMN","Oman",5,"Al Dhahira",22,"Dhank","OM.ZA.DA",NA,"","Wilayat","Province","","Dank"
23,170,"OMN","Oman",5,"Al Dhahira",23,"Ibri","OM.ZA.IB",NA,"","Wilayat","Province","",""
24,170,"OMN","Oman",5,"Al Dhahira",24,"Yanqul","OM.ZA.YA",NA,"","Wilayat","Province","",""
25,170,"OMN","Oman",6,"Al Wusta",25,"Al Wusta","",NA,"","Wilayat","Province","",""
26,170,"OMN","Oman",7,"Ash Sharqiyah North",26,"Al Mudhaibi","OM.SH.MU",NA,"","Wilayat","Province","","Al Mudaybi"
27,170,"OMN","Oman",7,"Ash Sharqiyah North",27,"Al Qabil","OM.SH.QA",NA,"","Wilayat","Province","",""
28,170,"OMN","Oman",7,"Ash Sharqiyah North",28,"Al Wafi","OM.SH.KW",NA,"","Wilayat","Province","","Al Kamil Wa Al Wafi"
29,170,"OMN","Oman",7,"Ash Sharqiyah North",29,"Biddiya","OM.SH.BI",NA,"","Wilayat","Province","","Bidiyah"
30,170,"OMN","Oman",7,"Ash Sharqiyah North",30,"Ibra","OM.SH.IB",NA,"","Wilayat","Province","",""
31,170,"OMN","Oman",8,"Ash Sharqiyah South",31,"Jalan Bani","OM.SH.JA",NA,"","Wilayat","Province","","Jaalan Bani Bu Ali"
32,170,"OMN","Oman",8,"Ash Sharqiyah South",32,"Masirah","OM.SH.MA",NA,"","Wilayat","Province","",""
33,170,"OMN","Oman",8,"Ash Sharqiyah South",33,"Sur","OM.SH.SU",NA,"","Wilayat","Province","",""
34,170,"OMN","Oman",9,"Dhofar",34,"Al Halaniyat Islands","OM.JA.SJ",NA,"","Wilayat","Province","","Shalim Wa Juzur Al Hallaniyat"
35,170,"OMN","Oman",9,"Dhofar",35,"Marbat","OM.JA.MI",NA,"","Wilayat","Province","","Mirbat"
36,170,"OMN","Oman",9,"Dhofar",36,"Muqshin","OM.JA.MU",NA,"","Wilayat","Province","",""
37,170,"OMN","Oman",9,"Dhofar",37,"Salalah","OM.JA.SL",NA,"","Wilayat","Province","",""
38,170,"OMN","Oman",9,"Dhofar",38,"Sudh","OM.JA.SD",NA,"","Wilayat","Province","","Sadh"
39,170,"OMN","Oman",9,"Dhofar",39,"Taqah","OM.JA.TA",NA,"","Wilayat","Province","",""
40,170,"OMN","Oman",9,"Dhofar",40,"Thumrait","OM.JA.TH",NA,"","Wilayat","Province","","Thumrayt"
41,170,"OMN","Oman",10,"Musandam",41,"Al Khasab","OM.MU.KH",NA,"","Wilayat","Province","","Khasab"
42,170,"OMN","Oman",10,"Musandam",42,"Bukha","OM.MU.BU",NA,"","Wilayat","Province","",""
43,170,"OMN","Oman",10,"Musandam",43,"Diba","OM.MU.DA",NA,"","Wilayat","Province","","Daba"
44,170,"OMN","Oman",10,"Musandam",44,"Madha","OM.MU.MA",NA,"","Wilayat","Province","",""
45,170,"OMN","Oman",11,"Muscat",45,"A Seeb","OM.MA.SE",NA,"","Wilayat","Province","","As Seeb"
46,170,"OMN","Oman",11,"Muscat",46,"Bausher","OM.MA.BA",NA,"","Wilayat","Province","","Bawshar"
47,170,"OMN","Oman",11,"Muscat",47,"Muscat","OM.MA.MS",NA,"","Wilayat","Province","",""
48,170,"OMN","Oman",11,"Muscat",48,"Muttrah","OM.MA.MT",NA,"","Wilayat","Province","","Mutrah"
49,170,"OMN","Oman",11,"Muscat",49,"Quriyat","OM.MA.QU",NA,"","Wilayat","Province","","Qurayyat"
