province,id,City,lat,long,ship_orders,ship_order_prop,cod_order_prop,cod_rec_rate,self_prop,sa_wh,cn_wh
Al Bahah,1,Baha,20.279544 ,41.651064 ,17443,0.02,0.93,0.78,0.41,13.38,12.62
Al Jawf,3,Sakaka,29.878983 ,40.214343 ,18909,0.02,0.94,0.85,0.62,6.84,12.57
Al Madinah,4,Madinah,24.415538 ,39.561432 ,64912,0.07,0.91,0.83,0.11,7.13,11.91
Al Quassim,5,Buraidah,26.311877 ,44.043714 ,46212,0.05,0.89,0.87,0.09,6.27,9.98
Ar Riyad,6,Riyadh,24.568276 ,46.796232 ,243801,0.26,0.89,0.85,0.12,5.01,9.93
`Asir,0,Khamis Mushait,18.312860 ,42.740594 ,79339,0.08,0.95,0.76,0.28,11.19,14.27
Ash Sharqiyah,7,Dammam,26.424908 ,50.052141 ,144496,0.15,0.86,0.85,0.23,7.49,11.03
Ha'il,8,Hail,27.564168 ,41.688447 ,15611,0.02,0.94,0.83,0.33,7,11.78
Jizan,9,Gizan,16.861495 ,42.624449 ,44276,0.05,0.95,0.72,0.6,13.98,12.37
Makkah,10,Makkah,21.436358 ,39.800018 ,211189,0.22,0.9,0.8,0.16,7.64,11.62
Najran,11,Najran,17.530392 ,44.201680 ,13017,0.01,0.92,0.77,0.09,9.02,15.36
Al Hudud ash Shamaliyah,2,Arar,30.985313 ,41.036882 ,9911,0.01,0.93,0.78,0.46,9.01,12.44
Tabuk,12,Tabuk,28.365860 ,36.539853 ,30757,0.03,0.94,0.8,0.15,8.54,12.96
