"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,200,"SAU","Saudi Arabia",1,"`Asir","SA.AS",NA,"","Emirate|Mintaqah","Region","","Asir|Aseer|Assyear"
2,200,"SAU","Saudi Arabia",2,"Al Bahah","SA.BA",NA,"","Emirate|Mintaqah","Region","","Baha"
3,200,"SAU","Saudi Arabia",3,"Al Hudud ash Shamaliyah","SA.HS",NA,"","Emirate|Mintaqah","Region","","Northern Frontier"
4,200,"SAU","Saudi Arabia",4,"Al Jawf","SA.JF",NA,"","Emirate|Mintaqah","Region","","JawfAl Joaf|Al-Jouf|Jowf"
5,200,"SAU","Saudi Arabia",5,"Al Madinah","SA.MD",NA,"","Emirate|Mintaqah","Region","","Madinah|Al Madinah al Munawwarah|Monwarah|Medina|Médine"
6,200,"SAU","Saudi Arabia",6,"Al Quassim","SA.QS",NA,"","Emirate|Mintaqah","Region","","Al Gassim|Gasim|Qaseem|Al Qasseem"
7,200,"SAU","Saudi Arabia",7,"Ar Riyad","SA.RI",NA,"","Emirate|Mintaqah","Region","","Riyad|Riad|Riyadh"
8,200,"SAU","Saudi Arabia",8,"Ash Sharqiyah","SA.SH",NA,"","Emirate|Mintaqah","Region","","Eastern Province"
9,200,"SAU","Saudi Arabia",9,"Ha'il","SA.HA",NA,"","Emirate|Mintaqah","Region","","Hail"
10,200,"SAU","Saudi Arabia",10,"Jizan","SA.JZ",NA,"","Emirate|Mintaqah","Region","","Jazan|Qizan"
11,200,"SAU","Saudi Arabia",11,"Makkah","SA.MK",NA,"","Emirate|Mintaqah","Region","","La Meca|La Mecca|La Mecque|Makka|Makkah al-Mukarramah|Mecca|Meca|Mecka|Mekka"
12,200,"SAU","Saudi Arabia",12,"Najran","SA.NJ",NA,"","Emirate|Mintaqah","Region","",""
13,200,"SAU","Saudi Arabia",13,"Tabuk","SA.TB",NA,"","Emirate|Mintaqah","Region","","Tabouk"
