"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,69,"EGY","Egypt",1,"Ad Daqahliyah","EG.DQ",NA,"","Muhafazah","Governorate","<U+0627><U+0644><U+062F><U+0642><U+0647><U+0644><U+064A><U+0629>","Al Daqahliyah|Dacahlia|Dagahlia|Dakahlieh|Dakahliya|Dakalieh|Daqaliya|Dakahlia|Dekahlia"
2,69,"EGY","Egypt",2,"Al Bahr al Ahmar","EG.BA",NA,"","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0627><U+0644><U+0628><U+062D><U+0631> <U+0627><U+0644><U+0623><U+062D><U+0645><U+0631>","Mar Rojo|Mar Vermelho|Mer Rouge|Red Sea"
3,69,"EGY","Egypt",3,"Al Buhayrah","EG.BH",NA,"","Muhafazah","Governorate","<U+0627><U+0644><U+0628><U+062D><U+064A><U+0631><U+0629>","Beheira|Behera|El Buhayra|Béhéra"
4,69,"EGY","Egypt",4,"Al Fayyum","EG.FY",NA,"","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0627><U+0644><U+0641><U+064A><U+0648><U+0645>","El Faiyum|el Fayoum|Faium|Faiyum|Fayum|Fayoum|Fayyum"
5,69,"EGY","Egypt",5,"Al Gharbiyah","EG.GH",NA,"","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0627><U+0644><U+063A><U+0631><U+0628><U+064A><U+0629>","al-Garbiyah|El Gharbiya|Garbia|Gharbieh|Gharbiya|Gharbia"
6,69,"EGY","Egypt",6,"Al Iskandariyah","EG.IK",NA,"","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0627><U+0644><U+0625><U+0633><U+0643><U+0646><U+062F><U+0631><U+064A><U+0629>","Alexandria|Alexandrie|El Iskandariya"
7,69,"EGY","Egypt",7,"Al Isma`iliyah","EG.IS",NA,"","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0627><U+0644><U+0625><U+0633><U+0645><U+0627><U+0639><U+064A><U+0644><U+064A><U+0629>","As Ismailiyah|Ismailia|Ismaïlia|Isma'iliya"
8,69,"EGY","Egypt",8,"Al Jizah","EG.JZ",NA,"","Muhafazah","Governorate","","El Giza|El Gizah|Gizeh|Giza|Guizèh"
9,69,"EGY","Egypt",9,"Al Minufiyah","EG.MF",NA,"","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0627><U+0644><U+0645><U+0646><U+0648><U+0641><U+064A><U+0629>","Menoufieh|Menufia|Menufiya|Minufiya|Munufia|Menoufia|Minufia"
10,69,"EGY","Egypt",10,"Al Minya","EG.MN",NA,"","Muhafazah","Governorate","","Minia|Minieh|Menia|Minya"
11,69,"EGY","Egypt",11,"Al Qahirah","EG.FY",NA,"","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0627><U+0644><U+0641><U+064A><U+0648><U+0645>","El Faiyum|el Fayoum|Faium|Faiyum|Fayum|Fayoum|Fayyum"
12,69,"EGY","Egypt",11,"Al Qahirah","EG.QH",NA,"","Muhafazah","Governorate","","Cairo|El Cairo|El Qahira|Le Caire"
13,69,"EGY","Egypt",12,"Al Qalyubiyah","EG.QL",NA,"","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0627><U+0644><U+0642><U+0644><U+064A><U+0648><U+0628><U+064A><U+0629>","Caliubia|Kalioubieh|Kalioubiya|Qaliyubia|Qalyubiya|Kalyoubia|Kalyubia"
14,69,"EGY","Egypt",13,"Al Uqsur","EG.UQ",NA,"","Muhafazah","Governorate","","Luxor"
15,69,"EGY","Egypt",14,"Al Wadi al Jadid","EG.WJ",NA,"","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0627><U+0644><U+0648><U+0627><U+062F><U+064A> <U+0627><U+0644><U+062C><U+062F><U+064A><U+062F><U+200E>","Al Wadi/Al Jadid|El-Wadi El-Gidid|New Valley|Novo Vale|Ouadi El Guedid|Southern Desert"
16,69,"EGY","Egypt",15,"As Suways","EG.SW",NA,"","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0627><U+0644><U+0633><U+0648><U+064A><U+0633>","El Suweiz|Es Suweis|Suez"
17,69,"EGY","Egypt",16,"Ash Sharqiyah","EG.SQ",NA,"","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0627><U+0644><U+0634><U+0631><U+0642><U+064A><U+0629><U+200E>","Charkieh|Sharqia|Sharqiya|Sharquia|Sharkia"
18,69,"EGY","Egypt",17,"Aswan","EG.AN",NA,"","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0623><U+0633><U+0648><U+0627><U+0646>","Assouan|Assuã|Assuán|Syene"
19,69,"EGY","Egypt",18,"Asyut","EG.AT",NA,"","Muhafazah","Governorate","","Asyiut|Assiout|Assiut|Assyut|Asyout"
20,69,"EGY","Egypt",19,"Bani Suwayf","EG.BN",NA,"","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0628><U+0646><U+0649> <U+0633><U+0648><U+064A><U+0641>","Beni Suwayf|Beni Souef|Beni Suef"
21,69,"EGY","Egypt",20,"Bur Sa`id","EG.BS",NA,"","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0628><U+0648><U+0631><U+0633><U+0639><U+064A><U+062F>","Bur Said|Canal|Port Said|Port-Saïd"
22,69,"EGY","Egypt",21,"Dumyat","EG.DT",NA,"","Muhafazah","Governorate","","Damietta|Damiette|Dumiat"
23,69,"EGY","Egypt",22,"Janub Sina'","EG.JS",NA,"","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+062C><U+0646><U+0648><U+0628> <U+0633><U+064A><U+0646><U+0627><U+0621>","Janub Sina|Sina al-Janubiyah|Sina' al-Janubiyah|Sinai al Janubia|South Sinai|Sud Sinai"
24,69,"EGY","Egypt",23,"Kafr ash Shaykh","EG.KS",NA,"","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0643><U+0641><U+0631> <U+0627><U+0644><U+0634><U+064A><U+062E>","Kafr-El-Sheikh|Kafr ash Shaikh|Kafr ash-Shayk|Kafr el Sheik|Kafr el Sheikh"
25,69,"EGY","Egypt",24,"Matrouh","EG.MT",NA,"","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0645><U+0637><U+0631><U+0648><U+062D>","Marsa Matruh|Mersa Matruh|Western Desert|Matrouh"
26,69,"EGY","Egypt",25,"Qina","EG.QN",NA,"","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0642><U+0646><U+0627>","Kena|Qena|Quena"
27,69,"EGY","Egypt",26,"Shamal Sina'","EG.SS",NA,"","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0634><U+0645><U+0627><U+0644> <U+0633><U+064A><U+0646><U+0627><U+0621>","Shamal Sina|Nord Sinaï|North Sinai|Sina ash-Shamaliyah|Sinai ash Shamaliya"
28,69,"EGY","Egypt",27,"Suhaj","EG.SJ",NA,"","Muhafazah","Governorate","","Girga|Girgeh|Sawhaj|Sohag|Suhag"
