"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,170,"OMN","Oman",1,"Ad Dakhliyah","OM.DA",NA,"","Mintaqah","Region","","Ad Dakhiliyah"
2,170,"OMN","Oman",2,"Al Batinah North","OM.BN",NA,"","Mintaqah","Region","","<Null>"
3,170,"OMN","Oman",3,"Al Batinah South","OM.BS",NA,"","Mintaqah","Region","","<Null>"
4,170,"OMN","Oman",4,"Al Buraymi","OM.DH",NA,"","Mintaqah","Region","","Adh Dhahirah|Az Zahirah"
5,170,"OMN","Oman",5,"Al Dhahira","OM.ZA",NA,"","Mintaqah","Region","","Adh Dhahirah|Az Zahirah"
6,170,"OMN","Oman",6,"Al Wusta","OM.WU",NA,"","Mintaqah","Region","",""
7,170,"OMN","Oman",7,"Ash Sharqiyah North","OM.SN",NA,"","Mintaqah","Region","",""
8,170,"OMN","Oman",8,"Ash Sharqiyah South","OM.SS",NA,"","Mintaqah","Region","",""
9,170,"OMN","Oman",9,"Dhofar","OM.JA",NA,"","Muhafazah","Province","","Al Janubiyah [Zufar]"
10,170,"OMN","Oman",10,"Musandam","OM.MU",NA,"","Muhafazah","Province","",""
11,170,"OMN","Oman",11,"Muscat","OM.MA",NA,"","Muhafazah","Province","","Masqat"
