StateID,State,Local Translated,CityID,City,Local Translated,lat,long
2519,Al-Baha{Al-Bahah},??????,232671,Aqiq,??????,20.2795 ,41.6511 
2519,Al-Baha{Al-Bahah},??????,232673,Atawleh,?????????,20.2733 ,41.3574 
2519,Al-Baha{Al-Bahah},??????,25832,Baha,??????,20.2795 ,41.6511 
2519,Al-Baha{Al-Bahah},??????,25838,BilJurashi,??????,19.8649 ,41.5812 
2519,Al-Baha{Al-Bahah},??????,232675,Gilwa,????,19.9451 ,41.2457 
2519,Al-Baha{Al-Bahah},??????,232677,Mandak,??????,20.1083 ,41.2859 
2519,Al-Baha{Al-Bahah},??????,25836,Mikhwa,?????,19.7560 ,41.4362 
2520,Al-Jouf {Al Jawf},?????,232849,Domat Al Jandal,???? ??????,29.8283 ,39.8772 
2520,Al-Jouf {Al Jawf},?????,232853,Hadeethah,???????,31.4806 ,37.1473 
2520,Al-Jouf {Al Jawf},?????,25856,Qurayat,???????,31.3453 ,37.3333 
2520,Al-Jouf {Al Jawf},?????,25860,Sakaka,?????,29.8790 ,40.2143 
2520,Al-Jouf {Al Jawf},?????,25864,Tabrjal,?????,30.5155 ,38.2216 
2521,Al-Madinah Al-Monawarah,??????? ???????,25882,Bader,???,23.7572 ,38.7447 
2521,Al-Madinah Al-Monawarah,??????? ???????,232691,Hinakeya,????????,24.9073 ,40.5331 
2521,Al-Madinah Al-Monawarah,??????? ???????,232693,Khaibar,????,25.6858 ,39.2921 
2521,Al-Madinah Al-Monawarah,??????? ???????,25874,Madinah,???????,24.4155 ,39.5614 
2521,Al-Madinah Al-Monawarah,??????? ???????,232695,Mahad Al Dahab,??? ?????,23.4958 ,40.8677 
2521,Al-Madinah Al-Monawarah,??????? ???????,25880,Oula,?????,26.6305 ,37.9126 
2521,Al-Madinah Al-Monawarah,??????? ???????,232697,Umluj,????,25.0669 ,37.3012 
2521,Al-Madinah Al-Monawarah,??????? ???????,25886,Yanbu,????,24.1042 ,38.0803 
2522,Al-Qassim,??????,232741,Al Dalemya,????????,26.0299 ,43.2860 
2522,Al-Qassim,??????,25904,AlRass,????,25.8517 ,43.5222 
2522,Al-Qassim,??????,232745,Ayn Fuhayd,??? ??? ????,26.7670 ,44.2052 
2522,Al-Qassim,??????,25894,Badaya,???????,25.9820 ,43.7502 
2522,Al-Qassim,??????,25896,Bukeiriah,????????,26.1396 ,43.6555 
2522,Al-Qassim,??????,25908,Buraidah,?????,26.3119 ,44.0437 
2522,Al-Qassim,??????,25926,Midinhab,????,25.8283 ,44.2206 
2522,Al-Qassim,??????,25910,Onaiza,?????,26.0769 ,43.9985 
2522,Al-Qassim,??????,232751,Riyadh Al Khabra,???? ???????,26.0551 ,43.5715 
2522,Al-Qassim,??????,232755,Uqlat Al Suqur,???? ??????,25.8310 ,42.1869 
2523,Al-Riyadh,??????,25946,Afif,????,23.9029 ,42.9088 
2523,Al-Riyadh,??????,232797,Aflaj,???????,22.1494 ,47.1362 
2523,Al-Riyadh,??????,232779,Alghat,?????,26.0041 ,44.9440 
2523,Al-Riyadh,??????,232781,Artawiah,?????????,26.5018 ,45.3463 
2523,Al-Riyadh,??????,25940,Daelim,?????,23.9935 ,47.1594 
2523,Al-Riyadh,??????,25936,Dawadmi,????????,24.6228 ,46.7551 
2523,Al-Riyadh,??????,232757,Deraab,?????,24.5389 ,46.6383 
2523,Al-Riyadh,??????,25942,Dere'iyeh,???????,24.7514 ,46.5355 
2523,Al-Riyadh,??????,232759,Dhurma,????,24.6124 ,46.1518 
2523,Al-Riyadh,??????,232761,Hareeq,??????,23.6245 ,46.5114 
2523,Al-Riyadh,??????,25964,Hawtat Bani Tamim,???? ??? ????,23.5252 ,46.8447 
2523,Al-Riyadh,??????,232763,Horaimal,???????,25.1282 ,46.0993 
