City,ship_num,ship_num_prop,COD_prop,COD_rec_rate,pick_up_rate,saw_time_span,cnw_time_span
Riyadh,188462,0.2030 ,0.8800 ,0.8500 ,0.0700 ,4.73,9.7
Jeddah,96584,0.1040 ,0.8900 ,0.8200 ,0.0700 ,5.60,10.4
Makkah,49767,0.0530 ,0.9000 ,0.7800 ,0.1100 ,9.26,12.1
Madinah,45161,0.0490 ,0.9100 ,0.8400 ,0.0600 ,6.52,11.5
Dammam,32156,0.0350 ,0.8700 ,0.8500 ,0.0600 ,6.01,10.6
Taif,31909,0.0340 ,0.9400 ,0.8200 ,0.1800 ,9.89,14.0
Al Hassa,31650,0.0340 ,0.8700 ,0.8600 ,0.3000 ,7.71,10.5
Tabuk,23283,0.0250 ,0.9400 ,0.7900 ,0.1200 ,8.71,13.1
Buraidah,22001,0.0240 ,0.8900 ,0.8700 ,0.0800 ,6.58,10.1
Khamis Mushait,21259,0.0230 ,0.9400 ,0.7700 ,0.2200 ,10.87,14.5
Abha,16933,0.0180 ,0.9300 ,0.8000 ,0.0900 ,10.01,14.1
Hail,15607,0.0170 ,0.9400 ,0.8300 ,0.3300 ,7.00,11.8
Kharj,13535,0.0150 ,0.9300 ,0.8400 ,0.2900 ,6.09,12.6
Khobar,13033,0.0140 ,0.8600 ,0.8800 ,0.0800 ,6.82,10.7
Najran,12432,0.0130 ,0.9500 ,0.7700 ,0.0900 ,9.02,15.3
Gizan,12327,0.0130 ,0.9400 ,0.7500 ,0.4400 ,11.45,13.3
Mohayel Aseer,12326,0.0130 ,0.9700 ,0.7700 ,0.7100 ,12.48,9.5
Qatif,12293,0.0130 ,0.7900 ,0.8700 ,0.4100 ,8.35,12.9
Qunfudah,11981,0.0130 ,0.9700 ,0.7000 ,0.8000 ,7.43,11.5
Hafer Al Batin,11010,0.0120 ,0.9500 ,0.8100 ,0.3600 ,8.21,11.3
Sakaka,10825,0.0120 ,0.9400 ,0.8600 ,0.6700 ,6.87,12.9
Yanbu,10393,0.0110 ,0.9000 ,0.8300 ,0.1200 ,9.35,13.8
Jubail,9779,0.0110 ,0.8500 ,0.8200 ,0.2400 ,7.65,11.9
Onaiza,7938,0.0090 ,0.8800 ,0.8800 ,0.1200 ,5.58,9.3
Sabya,7891,0.0080 ,0.9500 ,0.7000 ,0.7200 ,15.77,11.1
Bisha,7861,0.0080 ,0.9600 ,0.6900 ,0.5000 ,12.23,8.7
Abu Areish,7556,0.0080 ,0.9500 ,0.6800 ,0.6800 ,15.02,9.7
Arar,6919,0.0070 ,0.9500 ,0.8200 ,0.6000 ,8.85,14.7
Baha,6588,0.0070 ,0.9400 ,0.7900 ,0.6700 ,9.13,13.7
Hofuf,6430,0.0070 ,0.8600 ,0.8700 ,0.1200 ,7.65,10.9
AlRass,5740,0.0060 ,0.8700 ,0.8300 ,0.0900 ,6.14,10.8
Dawadmi,5149,0.0060 ,0.9500 ,0.8700 ,0.7900 ,7.71,8.4
Wadi El Dwaser,4867,0.0050 ,0.9600 ,0.8300 ,0.7600 ,-,15.3
Majarda,4799,0.0050 ,0.9700 ,0.8200 ,0.1600 ,2.31,11.3
Hawea/Taif,4360,0.0050 ,0.9400 ,0.7900 ,0.4900 ,12.46,15.1
Dhahran,4343,0.0050 ,0.8200 ,0.8700 ,0.0800 ,6.99,11.2
Bish,4274,0.0050 ,0.9700 ,0.7200 ,0.2900 ,16.28,10.0
Qurayat,4184,0.0040 ,0.9400 ,0.8400 ,0.9200 ,9.01,13.0
Mikhwa,4106,0.0040 ,0.9700 ,0.7600 ,0.1400 ,18.32,9.9
Sabt El Alaya,4064,0.0040 ,0.9600 ,0.7900 ,0.1700 ,11.08,27.5
Seihat,3789,0.0040 ,0.8000 ,0.9200 ,0.1300 ,6.24,11.5
Ahad Rufaidah,3570,0.0040 ,0.9500 ,0.7200 ,0.2200 ,11.62,15.7
Zulfi,3464,0.0040 ,0.8600 ,0.8600 ,0.0900 ,14.06,8.2
Majma,3441,0.0040 ,0.8800 ,0.8800 ,0.2500 ,6.18,8.6
Safwa,3355,0.0040 ,0.7800 ,0.8800 ,0.4000 ,8.34,13.8
Oula,3352,0.0040 ,0.9400 ,0.8200 ,0.5700 ,6.81,11.9
Ahad Masarha,3328,0.0040 ,0.9700 ,0.6700 ,0.8300 ,15.35,9.2
